year,continent,scenario,tas_c
1980,Africa,historical,23.44067872015671
1981,Africa,historical,23.67987090553879
1982,Africa,historical,23.43696642460725
1983,Africa,historical,23.585477947190213
1984,Africa,historical,23.65487014938924
1985,Africa,historical,23.81870295966695
1986,Africa,historical,23.774894050720775
1987,Africa,historical,23.750275575536648
1988,Africa,historical,23.663570518298513
1989,Africa,historical,23.62942665793213
1990,Africa,historical,23.878747454108236
1991,Africa,historical,23.38794938486018
1992,Africa,historical,23.56643751441038
1993,Africa,historical,24.082172914414286
1994,Africa,historical,24.466011342036666
1995,Africa,historical,23.621949859907886
1996,Africa,historical,23.964584446105334
1997,Africa,historical,24.028890456609133
1998,Africa,historical,23.749676772303303
1999,Africa,historical,23.871785806202638
2000,Africa,historical,23.807766092611757
2001,Africa,historical,24.065781370350237
2002,Africa,historical,24.38440255304431
2003,Africa,historical,24.317769679077742
2004,Africa,historical,24.221560547055333
2005,Africa,historical,24.431085083653613
2006,Africa,historical,24.59160111697281
2007,Africa,historical,24.474795825464298
2008,Africa,historical,24.36985574280783
2009,Africa,historical,24.16677523340661
2010,Africa,historical,24.509094565508633
2011,Africa,historical,24.742389501549383
2012,Africa,historical,24.118863498947405
2013,Africa,historical,24.200781363700003
2014,Africa,historical,24.396174487632436
2015,Africa,ssp585,24.630672012061325
2016,Africa,ssp585,24.02510341902547
2017,Africa,ssp585,23.87154171426772
2018,Africa,ssp585,24.478466823569363
2019,Africa,ssp585,24.93228082702626
2020,Africa,ssp585,24.496848043980265
2021,Africa,ssp585,24.596916063131573
2022,Africa,ssp585,24.67590148292942
2023,Africa,ssp585,25.176376289030827
2024,Africa,ssp585,24.569880304264643
2025,Africa,ssp585,24.584279776511778
2026,Africa,ssp585,24.634563798379077
2027,Africa,ssp585,25.021630714377807
2028,Africa,ssp585,25.372247260721565
2029,Africa,ssp585,25.13708352683102
2030,Africa,ssp585,25.212446686008093
2031,Africa,ssp585,25.124201875412837
2032,Africa,ssp585,25.352134592072673
2033,Africa,ssp585,25.39847522956842
2034,Africa,ssp585,25.18826436058214
2035,Africa,ssp585,25.71790009872933
2036,Africa,ssp585,25.435321744169016
2037,Africa,ssp585,25.39851365940939
2038,Africa,ssp585,25.32334033879232
2039,Africa,ssp585,25.482858277035007
2040,Africa,ssp585,25.658439353511085
2041,Africa,ssp585,25.6560696896496
2042,Africa,ssp585,25.726107506704807
2043,Africa,ssp585,26.24099268592545
2044,Africa,ssp585,25.52563307953875
2045,Africa,ssp585,25.3775668998544
2046,Africa,ssp585,25.937419048436197
2047,Africa,ssp585,26.206556536449455
2048,Africa,ssp585,26.155501808562633
2049,Africa,ssp585,26.394843768649935
2050,Africa,ssp585,26.516447209430908
2051,Africa,ssp585,26.3418170567557
2052,Africa,ssp585,26.31084322661667
2053,Africa,ssp585,26.388954055311046
2054,Africa,ssp585,26.309458609042736
2055,Africa,ssp585,26.510571036752594
2056,Africa,ssp585,26.447644163017003
2057,Africa,ssp585,26.555128099405067
2058,Africa,ssp585,26.96298431892035
2059,Africa,ssp585,26.866345546050468
2060,Africa,ssp585,27.052782268231
1980,Asia,historical,16.781924933616096
1981,Asia,historical,16.75439609668075
1982,Asia,historical,17.19896286206682
1983,Asia,historical,16.896641603165904
1984,Asia,historical,17.104410750408363
1985,Asia,historical,16.86875143377489
1986,Asia,historical,16.91745039151641
1987,Asia,historical,17.304805817072747
1988,Asia,historical,17.108733027270716
1989,Asia,historical,17.21867117968344
1990,Asia,historical,17.415714226933574
1991,Asia,historical,17.18775246477861
1992,Asia,historical,16.80953394025039
1993,Asia,historical,17.117851503656198
1994,Asia,historical,17.577024010011826
1995,Asia,historical,17.244086475922018
1996,Asia,historical,17.10576389593092
1997,Asia,historical,17.312480464551072
1998,Asia,historical,17.517692108221183
1999,Asia,historical,17.441915363906332
2000,Asia,historical,17.540058106859362
2001,Asia,historical,17.57939716428325
2002,Asia,historical,17.693335212546913
2003,Asia,historical,17.81352931754236
2004,Asia,historical,17.97321146826556
2005,Asia,historical,17.892935634819537
2006,Asia,historical,17.911177802465204
2007,Asia,historical,18.172942867405823
2008,Asia,historical,18.23845407659263
2009,Asia,historical,18.0418546667305
2010,Asia,historical,17.92745033350144
2011,Asia,historical,17.958741354881397
2012,Asia,historical,18.08970135799666
2013,Asia,historical,17.7036800035778
2014,Asia,historical,18.044946826930982
2015,Asia,ssp585,18.31836370116497
2016,Asia,ssp585,18.069508909868034
2017,Asia,ssp585,17.976009031312685
2018,Asia,ssp585,17.964737260259312
2019,Asia,ssp585,18.084412016938245
2020,Asia,ssp585,18.31403204246959
2021,Asia,ssp585,18.25959306994622
2022,Asia,ssp585,18.189536510371966
2023,Asia,ssp585,18.308406077695565
2024,Asia,ssp585,18.55406591683851
2025,Asia,ssp585,18.109445551825672
2026,Asia,ssp585,18.405189933066367
2027,Asia,ssp585,18.714961608197086
2028,Asia,ssp585,18.78915882336173
2029,Asia,ssp585,18.915135151617164
2030,Asia,ssp585,18.670155916451108
2031,Asia,ssp585,18.422118995135577
2032,Asia,ssp585,18.839334077483443
2033,Asia,ssp585,19.026052146330358
2034,Asia,ssp585,19.134349803245982
2035,Asia,ssp585,19.164514810899107
2036,Asia,ssp585,19.241450490630996
2037,Asia,ssp585,19.36347625124563
2038,Asia,ssp585,19.430416222141048
2039,Asia,ssp585,19.262713590146973
2040,Asia,ssp585,19.17979159447475
2041,Asia,ssp585,19.432460832112213
2042,Asia,ssp585,19.38549700487988
2043,Asia,ssp585,19.342614231369453
2044,Asia,ssp585,19.515563858119094
2045,Asia,ssp585,19.522713818225043
2046,Asia,ssp585,19.727293638407218
2047,Asia,ssp585,19.69049389974441
2048,Asia,ssp585,19.84417748758699
2049,Asia,ssp585,19.753300406954168
2050,Asia,ssp585,20.14208540226872
2051,Asia,ssp585,20.04199621085445
2052,Asia,ssp585,20.021274754337696
2053,Asia,ssp585,19.97719211821112
2054,Asia,ssp585,20.006311175993176
2055,Asia,ssp585,20.05752357369971
2056,Asia,ssp585,20.45490840151234
2057,Asia,ssp585,20.375108675718252
2058,Asia,ssp585,20.338173951322688
2059,Asia,ssp585,20.42255205155385
2060,Asia,ssp585,20.51068648771235
1980,Europe,historical,10.660555008213066
1981,Europe,historical,11.11182887823577
1982,Europe,historical,10.93652528937821
1983,Europe,historical,10.692052185840623
1984,Europe,historical,10.906981733860164
1985,Europe,historical,10.575571573632828
1986,Europe,historical,11.03334195458251
1987,Europe,historical,10.80954871614648
1988,Europe,historical,10.684993069301356
1989,Europe,historical,10.8656959135335
1990,Europe,historical,11.43312306714165
1991,Europe,historical,11.872662179567726
1992,Europe,historical,10.486385371292045
1993,Europe,historical,10.800555360902763
1994,Europe,historical,11.609248908169207
1995,Europe,historical,10.756350442756911
1996,Europe,historical,11.089897989286328
1997,Europe,historical,11.65367232267073
1998,Europe,historical,11.879399857351245
1999,Europe,historical,11.806523115265577
2000,Europe,historical,11.882346917316625
2001,Europe,historical,12.07907599554261
2002,Europe,historical,11.706151638801487
2003,Europe,historical,11.528936721247703
2004,Europe,historical,11.618688071703843
2005,Europe,historical,11.834307451830284
2006,Europe,historical,12.03004442150501
2007,Europe,historical,12.515435843467003
2008,Europe,historical,12.599469758427517
2009,Europe,historical,12.548578320679553
2010,Europe,historical,11.929573595022418
2011,Europe,historical,12.136388592133187
2012,Europe,historical,12.54494134152651
2013,Europe,historical,11.381672568799104
2014,Europe,historical,12.08929759276515
2015,Europe,ssp585,12.024816463514355
2016,Europe,ssp585,11.984337464402813
2017,Europe,ssp585,12.356033573736454
2018,Europe,ssp585,11.743146729414661
2019,Europe,ssp585,12.090337236419487
2020,Europe,ssp585,11.908549888240998
2021,Europe,ssp585,12.157802518786866
2022,Europe,ssp585,12.563172905374131
2023,Europe,ssp585,12.440186971199012
2024,Europe,ssp585,11.990516979409847
2025,Europe,ssp585,11.788967529922957
2026,Europe,ssp585,11.98880814689278
2027,Europe,ssp585,12.83639327332753
2028,Europe,ssp585,12.994968513043602
2029,Europe,ssp585,12.972204757559155
2030,Europe,ssp585,12.445289496574674
2031,Europe,ssp585,12.515710273059085
2032,Europe,ssp585,12.990058211920484
2033,Europe,ssp585,12.700566648212998
2034,Europe,ssp585,13.368066281461324
2035,Europe,ssp585,13.23801508474429
2036,Europe,ssp585,13.664762455706807
2037,Europe,ssp585,13.733513996566444
2038,Europe,ssp585,13.414243575132105
2039,Europe,ssp585,13.233153588515677
2040,Europe,ssp585,12.396538093448328
2041,Europe,ssp585,13.830550621056432
2042,Europe,ssp585,13.415325768935702
2043,Europe,ssp585,13.577198921207128
2044,Europe,ssp585,13.751985431867695
2045,Europe,ssp585,13.508923955513694
2046,Europe,ssp585,13.15587344806363
2047,Europe,ssp585,13.603279752917103
2048,Europe,ssp585,13.74081499474147
2049,Europe,ssp585,13.490717414919231
2050,Europe,ssp585,13.966012833143111
2051,Europe,ssp585,14.3344237729994
2052,Europe,ssp585,13.732929526436862
2053,Europe,ssp585,13.969463970310358
2054,Europe,ssp585,14.038349645417497
2055,Europe,ssp585,13.874838834420189
2056,Europe,ssp585,14.719532473411675
2057,Europe,ssp585,14.27088686091298
2058,Europe,ssp585,14.30367643105609
2059,Europe,ssp585,14.048531681771237
2060,Europe,ssp585,13.811885868445643
1980,North America,historical,13.23740287764548
1981,North America,historical,13.354237121925735
1982,North America,historical,12.976221942605264
1983,North America,historical,12.966637634323149
1984,North America,historical,13.530604216291351
1985,North America,historical,13.525426447515144
1986,North America,historical,13.152163512819016
1987,North America,historical,13.499357746642715
1988,North America,historical,13.78177633067935
1989,North America,historical,13.826385603915412
1990,North America,historical,13.790158094328547
1991,North America,historical,13.484057585039182
1992,North America,historical,13.038352386138001
1993,North America,historical,13.306851715325195
1994,North America,historical,13.519098236715138
1995,North America,historical,13.374402106783975
1996,North America,historical,13.75322264800758
1997,North America,historical,13.97461550046495
1998,North America,historical,13.920203569413843
1999,North America,historical,13.709524519046226
2000,North America,historical,13.648043563431827
2001,North America,historical,14.100674195248757
2002,North America,historical,14.485902786520114
2003,North America,historical,14.440388987626193
2004,North America,historical,14.189779933019906
2005,North America,historical,14.293718149253436
2006,North America,historical,14.165777437344332
2007,North America,historical,14.485355980421332
2008,North America,historical,14.59952634285736
2009,North America,historical,14.663149029189924
2010,North America,historical,14.405239195464105
2011,North America,historical,14.157508240026743
2012,North America,historical,14.014783836023298
2013,North America,historical,14.058256149819783
2014,North America,historical,14.503769471570706
2015,North America,ssp585,14.404514444279869
2016,North America,ssp585,14.046629534330805
2017,North America,ssp585,14.086255833792109
2018,North America,ssp585,14.270544274828694
2019,North America,ssp585,14.72329611764519
2020,North America,ssp585,14.692174791478351
2021,North America,ssp585,14.7924661720225
2022,North America,ssp585,14.4818138599245
2023,North America,ssp585,14.625896269159966
2024,North America,ssp585,14.881802221322403
2025,North America,ssp585,14.60336070959795
2026,North America,ssp585,14.620368392840078
2027,North America,ssp585,15.311995060440267
2028,North America,ssp585,15.038027507364518
2029,North America,ssp585,15.250171257579268
2030,North America,ssp585,15.059537714234125
2031,North America,ssp585,15.090931272281466
2032,North America,ssp585,15.456820293679812
2033,North America,ssp585,15.430316365285591
2034,North America,ssp585,15.326003848270148
2035,North America,ssp585,15.53023292499006
2036,North America,ssp585,15.319017895756701
2037,North America,ssp585,15.729503143971272
2038,North America,ssp585,15.485061052190986
2039,North America,ssp585,15.622849654653635
2040,North America,ssp585,15.862353653923606
2041,North America,ssp585,15.669776927826888
2042,North America,ssp585,16.00635331248907
2043,North America,ssp585,15.898179097869843
2044,North America,ssp585,15.616089552892447
2045,North America,ssp585,15.559395123972763
2046,North America,ssp585,15.943186069342858
2047,North America,ssp585,16.114486194746917
2048,North America,ssp585,16.44930396654297
2049,North America,ssp585,16.667820011716117
2050,North America,ssp585,16.3619753684373
2051,North America,ssp585,16.424442507676815
2052,North America,ssp585,16.235362348010312
2053,North America,ssp585,16.371378450286045
2054,North America,ssp585,16.5831425641461
2055,North America,ssp585,16.90068101967529
2056,North America,ssp585,16.88553860249681
2057,North America,ssp585,16.753536005487774
2058,North America,ssp585,16.859883971538864
2059,North America,ssp585,16.817463262593435
2060,North America,ssp585,16.813308466573687
1980,Oceania,historical,21.39035827570558
1981,Oceania,historical,21.461817726245442
1982,Oceania,historical,21.58976293534579
1983,Oceania,historical,21.58690629676687
1984,Oceania,historical,21.570093106966567
1985,Oceania,historical,21.42956807686363
1986,Oceania,historical,21.5098023015413
1987,Oceania,historical,21.602626613819552
1988,Oceania,historical,21.470512809740967
1989,Oceania,historical,21.540978873274867
1990,Oceania,historical,21.529516313819784
1991,Oceania,historical,21.797466038053074
1992,Oceania,historical,21.668607448416935
1993,Oceania,historical,21.775360549085292
1994,Oceania,historical,22.156099143937524
1995,Oceania,historical,22.01040780001904
1996,Oceania,historical,21.67029868014049
1997,Oceania,historical,21.671141049656626
1998,Oceania,historical,21.780135220794307
1999,Oceania,historical,21.787320280773827
2000,Oceania,historical,21.905560519432413
2001,Oceania,historical,21.823329324795395
2002,Oceania,historical,21.813450691225626
2003,Oceania,historical,21.802918027733313
2004,Oceania,historical,21.976812247440137
2005,Oceania,historical,21.94287389409027
2006,Oceania,historical,21.958586106609005
2007,Oceania,historical,21.878446514078348
2008,Oceania,historical,21.965741671744127
2009,Oceania,historical,22.04341886652128
2010,Oceania,historical,21.920822469344387
2011,Oceania,historical,22.231477767101467
2012,Oceania,historical,22.139237517544586
2013,Oceania,historical,21.904371991922915
2014,Oceania,historical,21.824435599941978
2015,Oceania,ssp585,22.208773826102686
2016,Oceania,ssp585,22.29975284442935
2017,Oceania,ssp585,22.25712230321568
2018,Oceania,ssp585,22.137352513816438
2019,Oceania,ssp585,22.418757182806644
2020,Oceania,ssp585,22.40890049785679
2021,Oceania,ssp585,22.188079176388783
2022,Oceania,ssp585,22.411740935673436
2023,Oceania,ssp585,22.279901720587986
2024,Oceania,ssp585,22.340948595417558
2025,Oceania,ssp585,22.39462996306878
2026,Oceania,ssp585,22.353465044580787
2027,Oceania,ssp585,22.42385414546419
2028,Oceania,ssp585,22.539027421648257
2029,Oceania,ssp585,22.666372359314266
2030,Oceania,ssp585,22.712044232545225
2031,Oceania,ssp585,22.618686146246375
2032,Oceania,ssp585,22.566072978816294
2033,Oceania,ssp585,22.8630802231325
2034,Oceania,ssp585,22.606857730197078
2035,Oceania,ssp585,23.035039302061364
2036,Oceania,ssp585,22.967919968280512
2037,Oceania,ssp585,22.946208634996935
2038,Oceania,ssp585,22.923420642964913
2039,Oceania,ssp585,22.825688191685458
2040,Oceania,ssp585,23.024148974369552
2041,Oceania,ssp585,23.113303079902664
2042,Oceania,ssp585,22.873689420998062
2043,Oceania,ssp585,23.54205592905282
2044,Oceania,ssp585,23.261699589339685
2045,Oceania,ssp585,23.07290264551648
2046,Oceania,ssp585,23.24252056973944
2047,Oceania,ssp585,23.564525629789898
2048,Oceania,ssp585,23.60010953266584
2049,Oceania,ssp585,23.543470593917505
2050,Oceania,ssp585,23.867369948913392
2051,Oceania,ssp585,23.539405379241487
2052,Oceania,ssp585,23.59957969874108
2053,Oceania,ssp585,23.92321607244486
2054,Oceania,ssp585,23.74655763772921
2055,Oceania,ssp585,23.710013531385812
2056,Oceania,ssp585,23.986263102633245
2057,Oceania,ssp585,23.59830985321912
2058,Oceania,ssp585,24.090236132353652
2059,Oceania,ssp585,24.010926668842785
2060,Oceania,ssp585,24.10321613700671
1980,South America,historical,20.079766520299245
1981,South America,historical,20.068053327899918
1982,South America,historical,19.789465148559657
1983,South America,historical,19.874211065045756
1984,South America,historical,20.131146252409167
1985,South America,historical,20.016095286868733
1986,South America,historical,19.854115722174186
1987,South America,historical,19.917960770376453
1988,South America,historical,19.84487491758233
1989,South America,historical,20.147031970559794
1990,South America,historical,20.037734332810146
1991,South America,historical,19.616605859738854
1992,South America,historical,19.77070251284721
1993,South America,historical,20.417067442921393
1994,South America,historical,20.616468884903384
1995,South America,historical,19.85289164936762
1996,South America,historical,20.041526198273687
1997,South America,historical,20.504220903177384
1998,South America,historical,19.91921864511295
1999,South America,historical,19.840557257161436
2000,South America,historical,19.920756824937484
2001,South America,historical,20.307744823530697
2002,South America,historical,20.612720917941033
2003,South America,historical,20.4590647011388
2004,South America,historical,20.389684952535333
2005,South America,historical,20.644272754287158
2006,South America,historical,20.729563953285208
2007,South America,historical,20.595095607299243
2008,South America,historical,20.512647677815607
2009,South America,historical,20.226392531597412
2010,South America,historical,20.596370330009393
2011,South America,historical,20.72872416747765
2012,South America,historical,20.190631878401177
2013,South America,historical,20.140413370000886
2014,South America,historical,20.426607048001358
2015,South America,ssp585,20.819452704548098
2016,South America,ssp585,20.149459261898812
2017,South America,ssp585,20.254288534293835
2018,South America,ssp585,20.836246062251007
2019,South America,ssp585,20.873283082747776
2020,South America,ssp585,20.59635381104482
2021,South America,ssp585,20.87150780996211
2022,South America,ssp585,20.932205180978144
2023,South America,ssp585,21.096750051924914
2024,South America,ssp585,20.81716102051962
2025,South America,ssp585,20.68617523412496
2026,South America,ssp585,20.843242201396095
2027,South America,ssp585,20.883830128997545
2028,South America,ssp585,21.120742221676437
2029,South America,ssp585,21.112324652041252
2030,South America,ssp585,20.97815127253091
2031,South America,ssp585,20.998025055444543
2032,South America,ssp585,21.49928105901199
2033,South America,ssp585,21.59014953234265
2034,South America,ssp585,21.30833978604261
2035,South America,ssp585,21.742559912350487
2036,South America,ssp585,21.31860923510601
2037,South America,ssp585,21.470850408638285
2038,South America,ssp585,21.468797990912606
2039,South America,ssp585,21.480864130366967
2040,South America,ssp585,21.675950676938896
2041,South America,ssp585,21.51512969925767
2042,South America,ssp585,21.73953392316065
2043,South America,ssp585,21.808731199231715
2044,South America,ssp585,21.341314996294386
2045,South America,ssp585,21.39909044445716
2046,South America,ssp585,21.98042617879372
2047,South America,ssp585,22.259822996569255
2048,South America,ssp585,22.085181437544463
2049,South America,ssp585,22.357153888905486
2050,South America,ssp585,22.353003538650796
2051,South America,ssp585,22.402383417673377
2052,South America,ssp585,22.48042478147596
2053,South America,ssp585,22.250830346694443
2054,South America,ssp585,22.316329197858693
2055,South America,ssp585,22.569280884584032
2056,South America,ssp585,22.519107620093394
2057,South America,ssp585,22.48742192824801
2058,South America,ssp585,22.707375795329824
2059,South America,ssp585,22.820172852535222
2060,South America,ssp585,22.622435655129777
