year,tas_anomaly,region,scenario,pr_anomaly
1980,-1.19,alaska,historical,-0.18
1981,0.04,alaska,historical,-0.09
1982,-0.35,alaska,historical,0.04
1983,0.25,alaska,historical,-0.11
1984,-0.36,alaska,historical,-0.15
1985,0.16,alaska,historical,-0.0
1986,-1.14,alaska,historical,-0.04
1987,-0.06,alaska,historical,0.05
1988,0.39,alaska,historical,0.04
1989,0.14,alaska,historical,-0.15
1990,-0.29,alaska,historical,-0.03
1991,-1.88,alaska,historical,-0.14
1992,-0.88,alaska,historical,-0.1
1993,-0.94,alaska,historical,-0.1
1994,-0.94,alaska,historical,0.02
1995,-2.29,alaska,historical,-0.14
1996,-0.14,alaska,historical,-0.11
1997,0.9,alaska,historical,-0.02
1998,1.23,alaska,historical,0.07
1999,-1.37,alaska,historical,-0.18
2000,-1.18,alaska,historical,-0.19
2001,0.27,alaska,historical,-0.19
2002,1.64,alaska,historical,0.22
2003,0.87,alaska,historical,-0.02
2004,0.07,alaska,historical,-0.05
2005,0.58,alaska,historical,0.22
2006,-0.13,alaska,historical,0.2
2007,1.25,alaska,historical,0.06
2008,2.42,alaska,historical,0.03
2009,0.95,alaska,historical,0.1
2010,-1.21,alaska,historical,0.31
2011,-0.97,alaska,historical,-0.23
2012,-2.09,alaska,historical,-0.12
2013,-1.4,alaska,historical,0.04
2014,0.61,alaska,historical,0.02
2015,-0.86,alaska,ssp585,-0.28
2016,-2.37,alaska,ssp585,-0.23
2017,-1.78,alaska,ssp585,0.05
2018,-0.13,alaska,ssp585,0.06
2019,0.73,alaska,ssp585,-0.22
2020,0.85,alaska,ssp585,0.18
2021,-0.05,alaska,ssp585,-0.07
2022,0.15,alaska,ssp585,0.07
2023,0.96,alaska,ssp585,0.11
2024,0.7,alaska,ssp585,0.27
2025,-1.63,alaska,ssp585,-0.14
2026,0.0,alaska,ssp585,0.04
2027,2.39,alaska,ssp585,0.13
2028,0.97,alaska,ssp585,0.07
2029,1.45,alaska,ssp585,0.05
2030,0.28,alaska,ssp585,0.0
2031,0.12,alaska,ssp585,-0.3
2032,1.72,alaska,ssp585,0.12
2033,2.1,alaska,ssp585,0.13
2034,0.79,alaska,ssp585,0.29
2035,1.82,alaska,ssp585,0.35
2036,2.52,alaska,ssp585,0.34
2037,1.89,alaska,ssp585,0.34
2038,0.22,alaska,ssp585,0.34
2039,2.14,alaska,ssp585,-0.06
2040,1.88,alaska,ssp585,0.22
2041,1.93,alaska,ssp585,0.01
2042,3.09,alaska,ssp585,0.3
2043,1.41,alaska,ssp585,0.0
2044,1.1,alaska,ssp585,-0.12
2045,0.92,alaska,ssp585,0.21
2046,1.76,alaska,ssp585,-0.0
2047,2.19,alaska,ssp585,-0.1
2048,2.78,alaska,ssp585,0.37
2049,4.08,alaska,ssp585,0.13
2050,1.89,alaska,ssp585,0.28
2051,2.15,alaska,ssp585,0.27
2052,2.67,alaska,ssp585,0.13
2053,2.71,alaska,ssp585,-0.08
2054,2.81,alaska,ssp585,0.12
2055,3.52,alaska,ssp585,0.41
2056,3.8,alaska,ssp585,0.31
2057,3.0,alaska,ssp585,0.42
2058,3.39,alaska,ssp585,0.22
2059,3.41,alaska,ssp585,0.23
2060,2.43,alaska,ssp585,0.51
2061,3.63,alaska,ssp585,0.51
2062,1.96,alaska,ssp585,0.18
2063,3.89,alaska,ssp585,0.25
2064,4.36,alaska,ssp585,0.23
2065,5.38,alaska,ssp585,0.49
2066,5.21,alaska,ssp585,0.29
2067,4.47,alaska,ssp585,0.5
2068,4.68,alaska,ssp585,0.76
2069,3.09,alaska,ssp585,0.22
2070,5.24,alaska,ssp585,0.44
2071,4.82,alaska,ssp585,0.47
2072,4.13,alaska,ssp585,0.47
2073,5.42,alaska,ssp585,0.53
2074,4.81,alaska,ssp585,0.55
2075,4.98,alaska,ssp585,0.37
2076,5.55,alaska,ssp585,0.61
2077,6.58,alaska,ssp585,0.35
2078,4.83,alaska,ssp585,0.55
2079,4.77,alaska,ssp585,0.28
2080,5.75,alaska,ssp585,0.94
2081,5.29,alaska,ssp585,0.52
2082,3.98,alaska,ssp585,0.77
2083,5.53,alaska,ssp585,0.3
2084,5.36,alaska,ssp585,0.47
2085,4.82,alaska,ssp585,0.63
2086,5.75,alaska,ssp585,0.56
2087,5.22,alaska,ssp585,0.22
2088,5.63,alaska,ssp585,0.82
2089,6.19,alaska,ssp585,0.72
2090,5.74,alaska,ssp585,0.78
2091,5.67,alaska,ssp585,0.51
2092,5.59,alaska,ssp585,0.5
2093,5.92,alaska,ssp585,0.38
2094,6.06,alaska,ssp585,0.53
2095,6.38,alaska,ssp585,0.43
2096,7.62,alaska,ssp585,0.67
2097,6.91,alaska,ssp585,0.96
2098,6.68,alaska,ssp585,0.41
2099,7.6,alaska,ssp585,0.53
2100,6.8,alaska,ssp585,1.01
1980,-1.36,ca_coast,historical,-0.27
1981,-1.02,ca_coast,historical,0.47
1982,-1.44,ca_coast,historical,-0.32
1983,-1.65,ca_coast,historical,-0.38
1984,-0.36,ca_coast,historical,0.39
1985,-0.89,ca_coast,historical,0.36
1986,-1.41,ca_coast,historical,0.19
1987,-1.28,ca_coast,historical,-0.22
1988,-0.11,ca_coast,historical,-0.02
1989,-0.55,ca_coast,historical,0.43
1990,-0.67,ca_coast,historical,0.31
1991,-1.18,ca_coast,historical,0.31
1992,-1.67,ca_coast,historical,-0.27
1993,-0.98,ca_coast,historical,0.05
1994,-0.84,ca_coast,historical,-0.14
1995,-0.33,ca_coast,historical,0.05
1996,0.08,ca_coast,historical,-0.41
1997,-0.45,ca_coast,historical,0.29
1998,-0.46,ca_coast,historical,-0.4
1999,-1.02,ca_coast,historical,0.05
2000,-0.48,ca_coast,historical,0.08
2001,0.01,ca_coast,historical,0.14
2002,0.59,ca_coast,historical,-0.2
2003,-0.18,ca_coast,historical,0.86
2004,0.12,ca_coast,historical,-0.01
2005,1.04,ca_coast,historical,-0.1
2006,-0.39,ca_coast,historical,-0.09
2007,1.13,ca_coast,historical,-0.3
2008,0.79,ca_coast,historical,0.05
2009,0.14,ca_coast,historical,0.46
2010,-0.46,ca_coast,historical,-0.34
2011,-0.1,ca_coast,historical,0.23
2012,0.06,ca_coast,historical,-0.03
2013,-0.45,ca_coast,historical,-0.5
2014,0.36,ca_coast,historical,0.18
2015,-0.19,ca_coast,ssp585,0.36
2016,0.34,ca_coast,ssp585,-0.47
2017,-0.23,ca_coast,ssp585,-0.62
2018,-0.41,ca_coast,ssp585,-0.62
2019,0.28,ca_coast,ssp585,0.92
2020,-0.17,ca_coast,ssp585,0.12
2021,0.44,ca_coast,ssp585,-0.12
2022,-0.34,ca_coast,ssp585,-0.32
2023,-0.25,ca_coast,ssp585,-0.15
2024,0.25,ca_coast,ssp585,-0.33
2025,-0.36,ca_coast,ssp585,-0.32
2026,-0.86,ca_coast,ssp585,-0.23
2027,0.68,ca_coast,ssp585,-0.35
2028,0.47,ca_coast,ssp585,-0.09
2029,0.92,ca_coast,ssp585,0.28
2030,0.11,ca_coast,ssp585,0.02
2031,0.86,ca_coast,ssp585,0.46
2032,0.9,ca_coast,ssp585,0.24
2033,1.23,ca_coast,ssp585,0.24
2034,0.35,ca_coast,ssp585,-0.08
2035,0.62,ca_coast,ssp585,0.21
2036,-0.1,ca_coast,ssp585,-0.47
2037,1.08,ca_coast,ssp585,0.15
2038,0.61,ca_coast,ssp585,-0.26
2039,1.54,ca_coast,ssp585,0.33
2040,1.39,ca_coast,ssp585,0.14
2041,1.49,ca_coast,ssp585,0.36
2042,1.96,ca_coast,ssp585,0.51
2043,1.18,ca_coast,ssp585,0.62
2044,1.49,ca_coast,ssp585,0.49
2045,0.5,ca_coast,ssp585,-0.29
2046,1.19,ca_coast,ssp585,-0.08
2047,1.53,ca_coast,ssp585,0.43
2048,2.17,ca_coast,ssp585,-0.07
2049,2.29,ca_coast,ssp585,0.11
2050,1.4,ca_coast,ssp585,0.01
2051,1.81,ca_coast,ssp585,0.12
2052,1.29,ca_coast,ssp585,0.12
2053,2.1,ca_coast,ssp585,-0.01
2054,2.0,ca_coast,ssp585,0.17
2055,2.63,ca_coast,ssp585,-0.3
2056,2.88,ca_coast,ssp585,0.47
2057,2.02,ca_coast,ssp585,-0.34
2058,2.7,ca_coast,ssp585,0.54
2059,2.45,ca_coast,ssp585,0.07
2060,2.38,ca_coast,ssp585,0.17
2061,3.05,ca_coast,ssp585,-0.37
2062,3.14,ca_coast,ssp585,0.2
2063,2.2,ca_coast,ssp585,0.19
2064,2.62,ca_coast,ssp585,0.27
2065,3.21,ca_coast,ssp585,0.06
2066,3.13,ca_coast,ssp585,1.19
2067,2.66,ca_coast,ssp585,0.49
2068,2.6,ca_coast,ssp585,-0.12
2069,2.39,ca_coast,ssp585,0.3
2070,3.27,ca_coast,ssp585,0.22
2071,2.36,ca_coast,ssp585,0.07
2072,3.77,ca_coast,ssp585,0.21
2073,3.67,ca_coast,ssp585,1.02
2074,3.17,ca_coast,ssp585,-0.06
2075,3.8,ca_coast,ssp585,-0.14
2076,3.63,ca_coast,ssp585,0.09
2077,3.87,ca_coast,ssp585,0.6
2078,2.85,ca_coast,ssp585,-0.1
2079,4.07,ca_coast,ssp585,0.43
2080,3.98,ca_coast,ssp585,0.52
2081,2.86,ca_coast,ssp585,-0.41
2082,3.47,ca_coast,ssp585,0.04
2083,3.98,ca_coast,ssp585,-0.06
2084,4.13,ca_coast,ssp585,0.34
2085,3.47,ca_coast,ssp585,0.05
2086,4.83,ca_coast,ssp585,-0.28
2087,4.12,ca_coast,ssp585,1.14
2088,4.05,ca_coast,ssp585,0.3
2089,4.34,ca_coast,ssp585,0.41
2090,4.02,ca_coast,ssp585,0.22
2091,3.78,ca_coast,ssp585,0.07
2092,3.95,ca_coast,ssp585,0.0
2093,4.19,ca_coast,ssp585,1.36
2094,3.65,ca_coast,ssp585,0.8
2095,4.29,ca_coast,ssp585,0.7
2096,4.3,ca_coast,ssp585,0.57
2097,4.59,ca_coast,ssp585,0.43
2098,5.27,ca_coast,ssp585,0.43
2099,5.45,ca_coast,ssp585,-0.07
2100,5.35,ca_coast,ssp585,-0.06
1980,-1.0,europe,historical,-0.16
1981,-0.6,europe,historical,-0.04
1982,-0.81,europe,historical,-0.04
1983,-1.01,europe,historical,-0.03
1984,-0.94,europe,historical,-0.04
1985,-1.23,europe,historical,-0.03
1986,-0.79,europe,historical,-0.05
1987,-0.97,europe,historical,-0.12
1988,-1.1,europe,historical,-0.05
1989,-1.04,europe,historical,0.02
1990,-0.48,europe,historical,0.07
1991,0.11,europe,historical,-0.16
1992,-1.33,europe,historical,-0.06
1993,-1.08,europe,historical,-0.08
1994,-0.3,europe,historical,0.05
1995,-1.11,europe,historical,-0.05
1996,-0.99,europe,historical,0.15
1997,-0.04,europe,historical,-0.02
1998,-0.02,europe,historical,-0.03
1999,-0.14,europe,historical,-0.1
2000,-0.12,europe,historical,0.04
2001,0.31,europe,historical,-0.06
2002,-0.15,europe,historical,0.0
2003,-0.25,europe,historical,-0.23
2004,-0.22,europe,historical,0.12
2005,-0.13,europe,historical,0.19
2006,0.19,europe,historical,-0.05
2007,0.6,europe,historical,-0.01
2008,0.63,europe,historical,0.06
2009,0.56,europe,historical,0.07
2010,0.02,europe,historical,0.16
2011,0.24,europe,historical,-0.03
2012,0.75,europe,historical,-0.07
2013,-0.42,europe,historical,0.03
2014,0.3,europe,historical,-0.17
2015,0.2,europe,ssp585,0.04
2016,0.08,europe,ssp585,-0.18
2017,0.56,europe,ssp585,-0.11
2018,-0.12,europe,ssp585,0.05
2019,0.31,europe,ssp585,-0.08
2020,-0.05,europe,ssp585,0.18
2021,0.33,europe,ssp585,-0.18
2022,0.69,europe,ssp585,-0.01
2023,0.48,europe,ssp585,-0.06
2024,0.18,europe,ssp585,-0.02
2025,-0.0,europe,ssp585,-0.19
2026,0.22,europe,ssp585,-0.07
2027,1.13,europe,ssp585,-0.17
2028,1.12,europe,ssp585,0.13
2029,1.05,europe,ssp585,-0.03
2030,0.43,europe,ssp585,0.11
2031,0.88,europe,ssp585,-0.26
2032,1.09,europe,ssp585,-0.08
2033,0.87,europe,ssp585,0.07
2034,1.55,europe,ssp585,-0.25
2035,1.37,europe,ssp585,-0.05
2036,1.65,europe,ssp585,0.02
2037,1.76,europe,ssp585,0.02
2038,1.43,europe,ssp585,-0.16
2039,1.28,europe,ssp585,0.04
2040,0.6,europe,ssp585,-0.05
2041,1.85,europe,ssp585,-0.07
2042,1.39,europe,ssp585,0.18
2043,1.6,europe,ssp585,-0.05
2044,1.74,europe,ssp585,-0.01
2045,1.57,europe,ssp585,-0.14
2046,1.3,europe,ssp585,-0.13
2047,1.69,europe,ssp585,-0.16
2048,1.61,europe,ssp585,0.08
2049,1.55,europe,ssp585,-0.1
2050,1.99,europe,ssp585,-0.04
2051,2.44,europe,ssp585,-0.1
2052,1.74,europe,ssp585,-0.13
2053,2.11,europe,ssp585,-0.32
2054,1.99,europe,ssp585,0.0
2055,1.87,europe,ssp585,-0.09
2056,2.7,europe,ssp585,-0.02
2057,2.1,europe,ssp585,0.03
2058,2.26,europe,ssp585,-0.08
2059,2.18,europe,ssp585,-0.2
2060,1.75,europe,ssp585,0.01
2061,2.53,europe,ssp585,-0.09
2062,1.35,europe,ssp585,0.07
2063,1.53,europe,ssp585,-0.13
2064,2.13,europe,ssp585,-0.11
2065,2.03,europe,ssp585,0.04
2066,1.5,europe,ssp585,0.06
2067,1.93,europe,ssp585,-0.03
2068,2.68,europe,ssp585,-0.07
2069,2.66,europe,ssp585,-0.19
2070,2.73,europe,ssp585,-0.12
2071,2.67,europe,ssp585,-0.04
2072,1.91,europe,ssp585,-0.18
2073,1.79,europe,ssp585,-0.13
2074,2.08,europe,ssp585,0.0
2075,2.71,europe,ssp585,-0.02
2076,2.02,europe,ssp585,-0.18
2077,3.29,europe,ssp585,-0.22
2078,2.75,europe,ssp585,-0.17
2079,3.19,europe,ssp585,-0.04
2080,2.85,europe,ssp585,-0.16
2081,2.84,europe,ssp585,-0.16
2082,3.19,europe,ssp585,-0.41
2083,2.79,europe,ssp585,-0.03
2084,3.44,europe,ssp585,-0.12
2085,3.66,europe,ssp585,-0.14
2086,3.03,europe,ssp585,-0.18
2087,3.59,europe,ssp585,-0.13
2088,3.74,europe,ssp585,-0.3
2089,3.98,europe,ssp585,-0.14
2090,4.38,europe,ssp585,-0.23
2091,3.99,europe,ssp585,-0.11
2092,3.47,europe,ssp585,0.04
2093,4.41,europe,ssp585,-0.21
2094,3.74,europe,ssp585,0.02
2095,4.54,europe,ssp585,-0.14
2096,3.74,europe,ssp585,0.09
2097,4.2,europe,ssp585,-0.1
2098,4.67,europe,ssp585,-0.22
2099,3.83,europe,ssp585,-0.14
2100,4.52,europe,ssp585,-0.42
1980,-0.64,global,historical,-0.03
1981,-0.58,global,historical,-0.02
1982,-0.63,global,historical,-0.03
1983,-0.65,global,historical,-0.03
1984,-0.48,global,historical,-0.02
1985,-0.53,global,historical,-0.02
1986,-0.56,global,historical,-0.02
1987,-0.41,global,historical,-0.01
1988,-0.43,global,historical,-0.01
1989,-0.37,global,historical,-0.02
1990,-0.29,global,historical,-0.01
1991,-0.49,global,historical,-0.03
1992,-0.67,global,historical,-0.05
1993,-0.36,global,historical,-0.02
1994,-0.09,global,historical,0.03
1995,-0.49,global,historical,-0.02
1996,-0.38,global,historical,-0.03
1997,-0.18,global,historical,0.01
1998,-0.3,global,historical,-0.02
1999,-0.31,global,historical,-0.02
2000,-0.25,global,historical,-0.02
2001,-0.09,global,historical,-0.01
2002,0.12,global,historical,0.01
2003,0.11,global,historical,0.01
2004,0.11,global,historical,0.02
2005,0.14,global,historical,0.01
2006,0.2,global,historical,0.02
2007,0.24,global,historical,0.02
2008,0.25,global,historical,0.01
2009,0.16,global,historical,0.0
2010,0.25,global,historical,-0.0
2011,0.22,global,historical,0.04
2012,0.01,global,historical,-0.01
2013,-0.05,global,historical,-0.01
2014,0.24,global,historical,-0.0
2015,0.4,global,ssp585,0.03
2016,0.04,global,ssp585,0.0
2017,0.03,global,ssp585,-0.03
2018,0.27,global,ssp585,-0.01
2019,0.45,global,ssp585,0.02
2020,0.34,global,ssp585,0.02
2021,0.45,global,ssp585,-0.0
2022,0.49,global,ssp585,0.02
2023,0.57,global,ssp585,0.04
2024,0.46,global,ssp585,0.02
2025,0.36,global,ssp585,-0.0
2026,0.5,global,ssp585,0.02
2027,0.81,global,ssp585,0.01
2028,0.88,global,ssp585,0.05
2029,0.9,global,ssp585,0.05
2030,0.75,global,ssp585,0.03
2031,0.7,global,ssp585,0.02
2032,0.98,global,ssp585,0.05
2033,1.08,global,ssp585,0.07
2034,1.1,global,ssp585,0.05
2035,1.22,global,ssp585,0.07
2036,1.13,global,ssp585,0.06
2037,1.22,global,ssp585,0.06
2038,1.19,global,ssp585,0.05
2039,1.24,global,ssp585,0.05
2040,1.31,global,ssp585,0.07
2041,1.35,global,ssp585,0.05
2042,1.45,global,ssp585,0.06
2043,1.54,global,ssp585,0.09
2044,1.32,global,ssp585,0.07
2045,1.36,global,ssp585,0.04
2046,1.67,global,ssp585,0.08
2047,1.79,global,ssp585,0.09
2048,1.82,global,ssp585,0.09
2049,1.97,global,ssp585,0.11
2050,2.06,global,ssp585,0.12
2051,1.94,global,ssp585,0.1
2052,1.99,global,ssp585,0.1
2053,1.98,global,ssp585,0.11
2054,1.98,global,ssp585,0.1
2055,2.15,global,ssp585,0.1
2056,2.25,global,ssp585,0.11
2057,2.18,global,ssp585,0.1
2058,2.42,global,ssp585,0.13
2059,2.35,global,ssp585,0.11
2060,2.41,global,ssp585,0.13
2061,2.46,global,ssp585,0.13
2062,2.47,global,ssp585,0.12
2063,2.64,global,ssp585,0.14
2064,2.5,global,ssp585,0.13
2065,2.73,global,ssp585,0.13
2066,2.95,global,ssp585,0.15
2067,3.03,global,ssp585,0.16
2068,2.93,global,ssp585,0.15
2069,2.83,global,ssp585,0.13
2070,3.06,global,ssp585,0.15
2071,3.24,global,ssp585,0.17
2072,3.09,global,ssp585,0.14
2073,3.38,global,ssp585,0.17
2074,3.34,global,ssp585,0.16
2075,3.45,global,ssp585,0.17
2076,3.54,global,ssp585,0.17
2077,3.62,global,ssp585,0.17
2078,3.83,global,ssp585,0.2
2079,3.78,global,ssp585,0.18
2080,3.94,global,ssp585,0.21
2081,3.92,global,ssp585,0.21
2082,3.77,global,ssp585,0.17
2083,3.97,global,ssp585,0.19
2084,4.11,global,ssp585,0.2
2085,4.25,global,ssp585,0.22
2086,4.2,global,ssp585,0.19
2087,4.43,global,ssp585,0.23
2088,4.32,global,ssp585,0.22
2089,4.46,global,ssp585,0.22
2090,4.48,global,ssp585,0.23
2091,4.54,global,ssp585,0.22
2092,4.72,global,ssp585,0.25
2093,4.86,global,ssp585,0.25
2094,5.0,global,ssp585,0.27
2095,5.03,global,ssp585,0.25
2096,5.1,global,ssp585,0.27
2097,5.14,global,ssp585,0.27
2098,5.13,global,ssp585,0.25
2099,5.33,global,ssp585,0.26
2100,5.49,global,ssp585,0.28
1980,-0.99,usa,historical,-0.08
1981,-0.71,usa,historical,0.26
1982,-1.74,usa,historical,-0.01
1983,-1.78,usa,historical,0.08
1984,-0.48,usa,historical,0.09
1985,-0.61,usa,historical,0.13
1986,-1.22,usa,historical,0.12
1987,-1.22,usa,historical,-0.17
1988,-0.74,usa,historical,-0.11
1989,-0.35,usa,historical,0.08
1990,-0.41,usa,historical,0.05
1991,-0.12,usa,historical,-0.09
1992,-1.63,usa,historical,-0.07
1993,-1.07,usa,historical,0.31
1994,-0.99,usa,historical,-0.03
1995,-0.32,usa,historical,-0.43
1996,-0.12,usa,historical,-0.15
1997,-0.32,usa,historical,0.32
1998,-0.38,usa,historical,-0.2
1999,0.05,usa,historical,-0.14
2000,-0.29,usa,historical,0.05
2001,-0.46,usa,historical,0.13
2002,0.05,usa,historical,-0.06
2003,0.24,usa,historical,0.18
2004,-0.11,usa,historical,0.02
2005,-0.25,usa,historical,0.15
2006,-0.31,usa,historical,0.19
2007,-0.18,usa,historical,0.01
2008,-0.23,usa,historical,0.08
2009,0.48,usa,historical,-0.03
2010,0.6,usa,historical,-0.02
2011,0.11,usa,historical,0.22
2012,1.02,usa,historical,-0.2
2013,0.03,usa,historical,-0.22
2014,0.4,usa,historical,0.1
2015,0.46,usa,ssp585,-0.0
2016,0.76,usa,ssp585,-0.2
2017,1.12,usa,ssp585,-0.13
2018,-0.07,usa,ssp585,0.06
2019,0.47,usa,ssp585,0.14
2020,0.65,usa,ssp585,0.04
2021,1.05,usa,ssp585,0.03
2022,0.3,usa,ssp585,0.27
2023,0.09,usa,ssp585,0.29
2024,0.99,usa,ssp585,-0.14
2025,0.71,usa,ssp585,-0.15
2026,0.78,usa,ssp585,0.07
2027,0.77,usa,ssp585,0.01
2028,0.62,usa,ssp585,0.27
2029,1.38,usa,ssp585,0.22
2030,1.22,usa,ssp585,-0.02
2031,1.48,usa,ssp585,0.14
2032,1.07,usa,ssp585,0.44
2033,1.19,usa,ssp585,0.23
2034,1.52,usa,ssp585,0.16
2035,1.28,usa,ssp585,0.19
2036,0.55,usa,ssp585,-0.08
2037,1.63,usa,ssp585,0.11
2038,2.08,usa,ssp585,-0.08
2039,1.48,usa,ssp585,0.08
2040,1.59,usa,ssp585,0.24
2041,1.41,usa,ssp585,0.09
2042,1.5,usa,ssp585,0.26
2043,1.79,usa,ssp585,0.01
2044,2.25,usa,ssp585,-0.19
2045,1.89,usa,ssp585,-0.05
2046,1.76,usa,ssp585,0.22
2047,2.15,usa,ssp585,0.35
2048,2.58,usa,ssp585,0.03
2049,2.01,usa,ssp585,0.25
2050,2.64,usa,ssp585,0.16
2051,2.52,usa,ssp585,0.19
2052,2.3,usa,ssp585,0.15
2053,2.6,usa,ssp585,0.25
2054,2.89,usa,ssp585,0.19
2055,2.56,usa,ssp585,0.15
2056,3.34,usa,ssp585,0.05
2057,2.65,usa,ssp585,0.05
2058,3.01,usa,ssp585,0.34
2059,2.78,usa,ssp585,0.16
2060,3.07,usa,ssp585,0.03
2061,2.79,usa,ssp585,-0.06
2062,3.21,usa,ssp585,0.29
2063,2.32,usa,ssp585,0.48
2064,3.02,usa,ssp585,0.01
2065,2.76,usa,ssp585,0.31
2066,3.43,usa,ssp585,0.15
2067,3.18,usa,ssp585,0.39
2068,3.1,usa,ssp585,0.05
2069,3.32,usa,ssp585,0.04
2070,3.24,usa,ssp585,0.23
2071,3.34,usa,ssp585,-0.04
2072,4.16,usa,ssp585,0.0
2073,4.09,usa,ssp585,0.23
2074,3.66,usa,ssp585,0.23
2075,3.76,usa,ssp585,0.15
2076,4.05,usa,ssp585,0.14
2077,4.21,usa,ssp585,0.16
2078,3.82,usa,ssp585,0.12
2079,4.51,usa,ssp585,0.24
2080,4.32,usa,ssp585,0.28
2081,3.84,usa,ssp585,0.1
2082,5.21,usa,ssp585,-0.01
2083,4.42,usa,ssp585,-0.02
2084,4.73,usa,ssp585,0.4
2085,4.86,usa,ssp585,0.31
2086,4.47,usa,ssp585,-0.01
2087,4.67,usa,ssp585,0.45
2088,5.36,usa,ssp585,0.23
2089,5.0,usa,ssp585,0.12
2090,5.42,usa,ssp585,0.06
2091,4.93,usa,ssp585,0.21
2092,4.78,usa,ssp585,0.06
2093,5.47,usa,ssp585,0.43
2094,4.9,usa,ssp585,0.29
2095,5.36,usa,ssp585,0.39
2096,4.92,usa,ssp585,0.57
2097,6.03,usa,ssp585,-0.1
2098,5.84,usa,ssp585,0.42
2099,5.59,usa,ssp585,0.31
2100,6.32,usa,ssp585,0.04
